Entity,Label
1 1,CARDINAL
earth,LOC
1 3,CARDINAL
1 4,CARDINAL
Night,WORK_OF_ART
the evening,TIME
the first day,DATE
1 6,DATE
1 7,CARDINAL
1 8,DATE
the  morning,TIME
the second day,DATE
1 9,DATE
one,CARDINAL
1 10,CARDINAL
Earth,LOC
1 11,CARDINAL
1 12,DATE
1 13,CARDINAL
the morning,TIME
the third day,DATE
1 14,DATE
the day,DATE
night,TIME
days  and,DATE
1 16,DATE
two,CARDINAL
the day,DATE
1 17,CARDINAL
1 18,CARDINAL
the day,DATE
1 19,CARDINAL
the fourth day,DATE
1 21,DATE
1 22,CARDINAL
earth,LOC
1 23,CARDINAL
the fifth day,DATE
1 24,DATE
1 25,CARDINAL
1 26,CARDINAL
earth,LOC
1 28,CARDINAL
earth,LOC
1 29,CARDINAL
1 30,CARDINAL
1 31,DATE
the sixth day,DATE
2 1,DATE
2 2,DATE
the seventh day,DATE
the seventh day,DATE
2 3,DATE
seventh,ORDINAL
2 4,CARDINAL
the day,DATE
2 5,CARDINAL
2 6,CARDINAL
2 7,DATE
2 8,DATE
Eden,LOC
2 9,DATE
2 10,DATE
Eden,LOC
four,CARDINAL
2 11,CARDINAL
first,ORDINAL
Pison,PERSON
Havilah,ORG
2 12,CARDINAL
2 13,DATE
second,ORDINAL
Ethiopia,GPE
2 14,DATE
third,ORDINAL
Assyria,NORP
fourth,ORDINAL
Euphrates,ORG
2 15,DATE
Eden,LOC
2 16,DATE
2 17,CARDINAL
the day,DATE
thou  eatest,PERSON
2 18,DATE
2 19,DATE
Adam,PERSON
Adam,PERSON
2 20,DATE
Adam,PERSON
Adam,PERSON
2 21,DATE
Adam  ,PERSON
one,CARDINAL
2 22,CARDINAL
2 23,DATE
Adam,PERSON
one,CARDINAL
2 25,DATE
3 1,DATE
subtil,ORG
3 2,CARDINAL
3 3,CARDINAL
3 4,DATE
3 5,CARDINAL
the day,DATE
3 6,DATE
one,CARDINAL
3 7,DATE
3 8,DATE
day,DATE
Adam,PERSON
3 9,DATE
Adam  and,PERSON
3 10,CARDINAL
3 11,DATE
3 12,CARDINAL
3 13,DATE
3 14,DATE
the  days,DATE
3 15,DATE
3 16,DATE
3 17,DATE
Adam,PERSON
3 18,CARDINAL
3 19,CARDINAL
3 20,DATE
Adam,PERSON
Eve,PERSON
3 21,EVENT
3 22,DATE
one,CARDINAL
3 23,CARDINAL
Eden,LOC
3 24,DATE
Eden Cherubims,PRODUCT
4 1,DATE
Adam,PERSON
Eve,PERSON
Cain,PERSON
4 2,DATE
Abel,PERSON
Abel,PERSON
Cain,PERSON
4 3,DATE
Cain,PERSON
4 4,DATE
Abel,PERSON
Abel,PERSON
4 5,CARDINAL
Cain,PERSON
Cain,PERSON
4 6,DATE
Cain,PERSON
4 7,DATE
4 8,DATE
Cain,PERSON
Abel,PERSON
Cain,PERSON
Abel,PERSON
4 9,DATE
Cain  Where,PERSON
Abel,PERSON
4 10,DATE
4 11,DATE
4 12,DATE
thou  tillest,PERSON
earth,LOC
4 13,DATE
Cain,PERSON
4 14,DATE
this day,DATE
one,CARDINAL
4 15,DATE
slayeth Cain,PERSON
sevenfold,CARDINAL
Cain,PERSON
4 16,DATE
Cain,PERSON
Nod,ORG
Eden,LOC
4 17,DATE
Cain,PERSON
Enoch,PERSON
Enoch,PERSON
Enoch,PERSON
Irad,ORG
Irad,ORG
Mehujael,ORG
Mehujael,PERSON
Methusael,GPE
Methusael,GPE
Lamech,PERSON
4 19,DATE
Lamech,PERSON
two,CARDINAL
Adah,PERSON
Zillah,PERSON
4 20,DATE
Jabal,PERSON
4 21,DATE
Jubal  he,PERSON
4 22,DATE
Zillah,PERSON
Tubalcain,PERSON
instructer,ORG
Tubalcain,PERSON
Naamah,PERSON
4 23,DATE
Lamech,PERSON
Zillah,PERSON
Lamech,PERSON
4 24,DATE
Cain,PERSON
sevenfold,CARDINAL
Lamech,PERSON
sevenfold,CARDINAL
4 25,DATE
Adam,PERSON
Seth  ,PERSON
Abel,PERSON
Cain,PERSON
4 26,DATE
Seth  to,PERSON
Enos,PERSON
Adam  In,PERSON
the day,DATE
5 2,CARDINAL
Adam  ,PERSON
the  day,DATE
5 3,DATE
Adam,PERSON
an hundred and thirty years,CARDINAL
Seth  5 4,PERSON
the days,DATE
Adam,PERSON
Seth,PERSON
eight hundred years,DATE
5 5,CARDINAL
Adam,PERSON
nine hundred and thirty years,DATE
5 6,DATE
Seth,PERSON
an hundred and five years,CARDINAL
Enos,PERSON
5 7,DATE
Seth,PERSON
Enos,PERSON
5 8,DATE
Seth,PERSON
nine  hundred and,CARDINAL
5 9,DATE
Enos,PERSON
ninety years,DATE
Cainan,GPE
5 10,DATE
Enos,PERSON
Cainan,GPE
eight hundred and fifteen years,DATE
5 11,DATE
Enos,PERSON
nine hundred,CARDINAL
five years,DATE
5 12,DATE
Cainan,GPE
seventy years,DATE
5 13,DATE
And  Cainan,PERSON
eight hundred and forty years,DATE
5 14,DATE
Cainan,GPE
nine hundred and ten years,CARDINAL
5 15,DATE
sixty and five years  and,DATE
Jared  5,PERSON
eight hundred and thirty,CARDINAL
5 17,DATE
eight hundred ninety and five years,DATE
5 18,DATE
Jared,PERSON
Jared,PERSON
eight hundred years,DATE
5 20,DATE
Jared,PERSON
nine  hundred sixty and,CARDINAL
5 21,DATE
Enoch,PERSON
sixty and five years  ,DATE
Methuselah,ORG
Enoch,PERSON
three hundred  years,DATE
5 23,CARDINAL
Enoch,PERSON
three hundred sixty and five years  5 24,DATE
Enoch,PERSON
5 25,DATE
Methuselah,ORG
Lamech,PERSON
5 26,DATE
Methuselah,ORG
Lamech,PERSON
seven hundred eighty  and,CARDINAL
two years,DATE
5 27,DATE
Methuselah,ORG
nine hundred sixty and nine years,DATE
5 28,DATE
Lamech,PERSON
5 29,DATE
Noah,PERSON
5 30,DATE
Lamech,PERSON
Noah,PERSON
five hundred ninety and five  years,DATE
5 31,DATE
Lamech,PERSON
seven hundred seventy and seven years,DATE
5 32,DATE
Noah,PERSON
five hundred years old,DATE
Noah,PERSON
Shem  Ham,PERSON
Japheth,PERSON
6 1,DATE
6 2,DATE
6 3,DATE
an hundred and twenty  years,CARDINAL
6 4,EVENT
days,DATE
6 5,DATE
6 6,DATE
6 7,DATE
6 8,DATE
Noah,PERSON
6 9,DATE
Noah,PERSON
Noah,PERSON
Noah,PERSON
6 10,DATE
Noah,PERSON
three,CARDINAL
Shem  Ham,PERSON
Japheth,PERSON
6 11,TIME
6 12,DATE
earth,LOC
6 13,DATE
Noah,PERSON
earth,LOC
6 14,TIME
6 15,DATE
three hundred cubits,QUANTITY
fifty  cubits,QUANTITY
thirty cubits,QUANTITY
ark,GPE
second,ORDINAL
third,ORDINAL
6 17,DATE
6 18,DATE
ark,GPE
6 19,DATE
two,CARDINAL
ark,GPE
6 20,CARDINAL
two,CARDINAL
6 21,DATE
6 22,DATE
Noah,PERSON
7 1,DATE
Noah  Come,PERSON
the  ark,ORG
7 2,CARDINAL
sevens,CARDINAL
two,CARDINAL
sevens,CARDINAL
7 4,DATE
seven days,DATE
forty days,DATE
forty nights,TIME
earth,LOC
7 5,DATE
Noah,PERSON
7 6,DATE
Noah,PERSON
six hundred years old,DATE
earth,LOC
7 7,DATE
Noah,PERSON
ark,GPE
7 8,CARDINAL
7 9,DATE
two,CARDINAL
two,CARDINAL
Noah,PERSON
Noah,PERSON
7 10,DATE
seven days,DATE
earth,LOC
7 11,EVENT
the six hundredth year,DATE
Noah,PERSON
the second month   the seventeenth day of the month  the same day,DATE
7 12,DATE
forty nights,TIME
7 13,EVENT
the selfsame day,DATE
Noah,PERSON
Shem  ,PERSON
Japheth,PERSON
Noah,PERSON
Noah,PERSON
three,CARDINAL
ark,GPE
7 14,CARDINAL
7 15,DATE
Noah,PERSON
two,CARDINAL
two,CARDINAL
7 16,DATE
7 17,DATE
forty days,DATE
ark,GPE
earth,LOC
7 18,DATE
7 19,DATE
Fifteen cubits,QUANTITY
7 21,DATE
7 22,CARDINAL
7 23,DATE
Noah,PERSON
ark,GPE
7 24,DATE
8 1,DATE
Noah,PERSON
ark,GPE
8 2,CARDINAL
8 3,DATE
the end of the hundred and fifty days,DATE
8 4,DATE
the seventh month,DATE
the seventeenth day,DATE
month,DATE
Ararat,ORG
8 5,DATE
the tenth month,DATE
the  tenth month,DATE
the first day of the month,DATE
8 6,DATE
the end of forty days,DATE
Noah,PERSON
ark,GPE
8 7,DATE
earth,LOC
8 8,DATE
8 9,CARDINAL
ark,GPE
8 10,DATE
seven days,DATE
ark,GPE
evening,TIME
Noah,PERSON
earth,LOC
8 12,DATE
seven days,DATE
8 13,EVENT
six hundredth and first year,DATE
the  first month  the first day of the month,DATE
Noah,PERSON
8 14,DATE
the second month,DATE
the seven and twentieth day,DATE
the  month,DATE
8 15,DATE
Noah,PERSON
8 16,DATE
8 17,DATE
earth,LOC
8 18,DATE
Noah,PERSON
8 19,CARDINAL
ark,GPE
Noah,PERSON
8 21,DATE
8 22,DATE
summer,DATE
winter  and day,DATE
night,TIME
9 1,DATE
Noah,PERSON
earth,LOC
9 2,DATE
9 3,TIME
9 4,CARDINAL
9 5,DATE
sheddeth,GPE
9 7,DATE
9 8,DATE
Noah,PERSON
9 9,DATE
9 10,DATE
ark,GPE
earth,LOC
9 11,DATE
earth,LOC
9 12,DATE
9 13,DATE
9 14,DATE
9 15,DATE
9 16,DATE
earth,LOC
9 17,DATE
Noah,PERSON
earth,LOC
9 18,DATE
Noah,PERSON
Shem,PERSON
Ham,ORG
Japheth  ,PERSON
Ham,ORG
Canaan,GPE
9 19,CARDINAL
three,CARDINAL
Noah,PERSON
9 20,DATE
Noah,PERSON
9 21,DATE
9 22,DATE
Canaan,GPE
two,CARDINAL
9 23,DATE
Shem,PERSON
Japheth,PERSON
9 24,DATE
Noah,PERSON
9 25,DATE
Canaan,GPE
9 26,DATE
Shem,PERSON
Canaan,GPE
9 27,CARDINAL
Japheth,PERSON
Shem,PERSON
Canaan,GPE
9 28,DATE
Noah,PERSON
9 29,DATE
Noah,PERSON
nine hundred and fifty years,DATE
10 1,DATE
Noah,PERSON
Shem  Ham,PERSON
Japheth,PERSON
10 2,CARDINAL
Japheth  Gomer,PERSON
Magog,ORG
Madai,GPE
Javan,ORG
Tubal,NORP
Meshech,PERSON
Tiras,ORG
10 3,DATE
Gomer,PERSON
Ashkenaz,NORP
Riphath,ORG
Togarmah,ORG
10 4,DATE
Javan  Elishah,ORG
Tarshish  Kittim,PERSON
Dodanim     ,LAW
Gentiles,GPE
10 6,DATE
Ham  Cush,PERSON
Mizraim,PERSON
Canaan,GPE
10 7,DATE
Cush,PERSON
Havilah,ORG
Sabtah,ORG
Raamah,ORG
Sabtechah  ,PERSON
Raamah  Sheba,ORG
Dedan,PRODUCT
10 8,DATE
Cush,PERSON
Nimrod,GPE
earth,LOC
10 9,DATE
Nimrod,GPE
10 10,DATE
Accad,PERSON
Shinar,ORG
10 11 Out,DATE
Nineveh,GPE
Rehoboth,GPE
Calah,ORG
10 12,DATE
Nineveh,GPE
Calah,ORG
10 13,DATE
Mizraim,PERSON
Ludim,PERSON
Lehabim,ORG
Naphtuhim,ORG
10 14,CARDINAL
Pathrusim,ORG
Casluhim,ORG
Philistim,PERSON
Caphtorim,ORG
10 15,DATE
Canaan,GPE
Sidon,GPE
first,ORDINAL
Heth  ,PERSON
10 16,DATE
Amorite,PRODUCT
Girgasite,PERSON
10 17,DATE
Hivite,ORG
Arkite,ORG
Zemarite,PERSON
Hamathite,PERSON
10 19,DATE
